	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Owenweeksiaceae	66.5	138.0	477.5	24.5	174.0	1030.5	291.0	20.5	542.0	96.5	980.5	398.5	4.0	579.0	53.0	84.0	270.5	598.5	944.5	449.0	177.0	2.0	259.0	237.0	6.0	641.0	141.5	185.5	551.0	179.5	174.5	843.0	59.5	501.0	549.5	651.5	394.5	1541.0	652.5	1373.5	959.0	2.0	0.0	2.0	1.0	3.0	3.5	2.5	3.0	122.5	591.5	4.0	163.0	148.0	454.0
Acetomicrobiaceae	4.0	19.5	19.5	4.0	10.0	214.5	79.0	1.5	49.0	10.5	181.5	35.0	2.0	96.0	7.0	0.0	25.0	58.5	103.0	60.5	10.0	1.0	40.0	19.5	0.0	14.0	28.0	5.0	55.0	113.5	19.5	120.0	44.0	51.0	119.0	94.0	32.0	116.5	66.5	173.0	1804.5	0.0	0.0	0.0	1.0	1.0	2.0	2.0	4.0	20.0	102.0	0.0	25.0	56.0	113.5
Aminobacteriaceae	5.5	90.0	134.5	5.0	30.5	235.5	208.5	13.0	88.5	9.5	244.5	72.5	0.0	234.5	16.5	26.0	41.0	146.0	160.0	83.0	16.0	1.0	87.0	125.5	4.0	123.0	29.0	118.5	109.5	25.5	105.0	191.5	12.0	124.0	158.0	151.0	81.0	195.5	131.5	246.5	345.5	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	33.0	157.0	0.0	35.5	61.0	43.5
Dethiosulfovibrionaceae	27.5	81.0	298.5	10.0	27.0	608.0	222.0	7.0	150.5	70.5	682.0	471.5	3.0	278.0	12.0	38.5	117.0	287.5	195.0	329.0	162.5	2.0	280.0	146.5	2.0	311.5	57.0	85.0	224.0	109.5	99.0	555.5	28.5	422.0	393.5	544.0	298.5	684.5	442.0	847.0	562.0	0.0	1.0	1.0	1.0	0.5	2.0	1.0	3.0	168.0	311.0	0.0	35.5	99.5	291.0
Thermovirgaceae	19.0	38.5	181.5	4.0	264.5	415.5	156.5	3.0	141.5	24.0	374.5	137.5	0.0	300.0	17.0	17.0	96.0	180.5	225.5	110.5	64.5	0.0	132.5	61.0	0.0	161.5	39.5	5.0	119.5	115.0	32.0	276.0	33.0	140.0	207.5	237.0	84.5	293.5	166.0	420.0	385.0	0.0	0.0	1.0	2.0	1.5	0.0	1.0	1.0	16.5	186.0	1.0	10.0	69.0	162.0
Aminiphilaceae	0.0	3.5	0.0	0.0	2.0	1.0	18.0	0.0	0.0	0.0	13.0	1.0	0.0	7.0	0.0	0.0	0.0	3.5	11.0	0.0	0.5	1.0	2.0	7.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	7.5	9.0	9.0	4.0	7.0	4.0	15.5	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Magnetovibrionaceae	0.0	1.5	0.0	0.0	1.0	11.5	0.0	0.5	0.0	1.5	5.0	7.0	0.0	1.0	4.5	2.5	0.0	1.0	1.0	4.0	16.0	0.0	12.5	2.0	0.0	4.0	1.0	17.0	2.0	79.0	0.0	11.0	0.0	0.0	3.0	7.0	0.0	3.5	0.0	11.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	14.5	0.0	0.0	0.0	0.0
Dongiaceae	0.0	0.0	13.0	0.0	2.0	26.5	1.0	1.0	4.0	1.0	11.0	15.0	0.0	15.0	1.0	0.0	5.5	0.0	6.0	13.0	0.0	0.0	1.0	9.0	0.0	2.0	0.0	0.0	0.0	5.0	4.0	21.5	0.0	19.5	9.0	11.0	4.0	2.0	16.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0
Novispirillaceae	40.5	93.5	461.0	12.0	63.0	523.5	174.0	20.5	297.5	55.5	561.0	2093.0	4.5	314.5	54.5	15.0	151.5	269.0	535.0	260.0	147.5	2.0	176.0	202.0	2.0	256.5	83.5	120.0	438.5	78.0	102.5	379.0	58.5	486.5	276.5	446.5	232.0	498.0	387.5	784.5	501.0	0.0	0.0	1.0	0.0	2.0	1.0	1.5	2.0	50.0	347.5	1.5	369.0	144.0	665.0
Oceanibaculaceae	2.0	7.0	31.0	0.0	13.0	34.0	19.0	0.0	4.0	2.0	29.5	3.0	0.0	30.0	1.0	1.0	4.0	23.5	23.5	11.0	8.5	0.0	4.0	4.0	0.0	12.0	2.5	2.0	10.0	8.0	7.0	47.5	5.0	10.0	38.5	37.5	12.0	26.0	20.0	34.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	47.5	1.0	5.0	1.0	2.0
