	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Birnaviridae	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Partitiviridae	713.5	3186.5	7195.0	386.5	964.5	12678.5	6721.0	235.5	4155.0	742.5	12922.0	9460.0	77.0	3210.5	1015.5	5950.0	16968.5	3281.0	7769.5	14348.5	2512.0	38.0	10605.5	3682.0	58.0	10122.0	3342.5	4936.0	31234.5	2658.5	2019.5	143160.0	565.0	9400.0	4724.0	8232.0	8855.5	21211.0	6232.0	11927.0	30009.0	40.0	36.0	22.5	39.0	46.5	34.0	61.5	48.5	25051.5	18982.0	49.5	9086.5	12739.5	15596.5
Togaviridae	3.0	7.0	1.0	11.0	5.0	16.0	3.0	0.0	1.0	3.5	17.5	15.5	0.0	0.5	3.0	4.0	0.0	17.5	9.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	1.0	8.5	0.5	12.5	5.5	10.0	1.0	8.0	21.0	2.0	8.0	11.0	0.0	15.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Flaviviridae	788154.0	700363.0	2062647.0	724.0	90.0	2028.0	1997.5	1858.5	4186.5	506.0	1085.0	6650.5	5432.5	3272.5	5245047.5	443396.0	11680967.5	591538.5	1549578.0	2320453.5	285018.5	6023.5	8068322.5	9130.0	4720.0	117040.5	4564.0	7059.5	8244.0	24092.5	2394436.0	1959448.5	2099.5	2434.0	2418.0	3292.0	3098.5	1826.0	4962.5	54961.5	182.5	39.0	53.0	265.5	164.0	51.0	559.0	762.5	807.0	144.0	95.0	11.0	350.0	408.5	469.0
Coronaviridae	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Paramyxoviridae	3.0	1.0	1.0	1.0	0.5	3.5	1.5	0.5	0.5	2.0	1.0	15.5	0.0	1.5	0.0	1.0	2.0	7.5	2.0	0.0	0.5	0.0	0.5	2.5	0.0	0.0	1.5	1.0	0.5	0.5	1.0	0.5	0.5	0.0	1.5	0.5	0.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pneumoviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rhabdoviridae	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Orthomyxoviridae	0.0	0.0	30.0	0.0	1.0	9.0	0.0	2.0	0.0	2.0	4.0	0.0	0.0	5.0	0.0	0.0	1.0	28.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	4.0	1.0	6.0	0.0	0.0	5.0	0.0	0.0	2.0	7.0	3.0	5.0	5.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
Arenaviridae	482.0	384.0	237.5	376.5	296.5	456.0	533.5	471.0	360.0	401.0	529.0	1887.0	8.5	340.5	421.5	401.5	560.5	360.5	457.0	215.0	1444.5	7.5	839.5	909.0	9.0	240.0	558.5	530.0	549.0	853.5	678.0	357.5	233.0	465.0	367.5	571.0	575.5	633.5	565.5	632.5	405.0	1.0	0.5	2.0	0.5	1.0	3.5	2.5	1.5	0.0	38.0	0.5	93.0	4.0	1019.0
Retroviridae	14822.0	10000.0	89696.0	6831.0	32515.5	159981.0	204575.0	20917.0	94644.0	28908.0	741782.5	573735.0	555.0	267966.0	48580.5	1945.5	62046.5	10852.5	40896.0	6864.5	57537.5	393.0	21588.5	354988.5	269.5	31616.0	8095.5	44724.0	118459.0	796937.0	65264.0	63892.5	618.0	44720.0	3034.0	81779.5	11109.0	23072.0	71307.5	130278.0	237298.0	24.5	11.0	185.5	144.5	314.5	171.5	304.0	279.0	88.5	99.0	31.5	209.0	106.0	96.0
Caliciviridae	66.0	27.0	17.0	0.0	0.0	4.0	9.0	32.0	47.0	1.0	0.0	26150.5	18.0	4070.5	0.0	19.0	0.0	1242.0	394.5	3.0	7.0	2.0	22.5	4.5	2.0	0.0	1.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	56.5	1.0	0.0	8.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	1.0	0.0	0.0	2.0	0.0
Picornaviridae	2065.5	8.0	2.0	73.0	6.0	12.0	3.0	1.0	7.5	2.0	4.0	11.5	1.0	289.0	56.0	771.0	2.0	0.0	9.0	42.0	8.0	6.0	8.0	0.0	4.0	10.0	352.0	1.0	29.0	24.0	10285.0	8681.5	9.0	23.0	17.0	10.0	1.0	35.5	512.0	604.0	181.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	9.0	19.0
Nodaviridae	1.0	4.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	12.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	10.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	3.0	8.0	1.0	0.0	10.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5	0.0
Circoviridae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Potyviridae	2.0	35.5	43.0	3.0	4.0	115.0	26.0	4.0	96.0	0.0	621.5	96.0	1.0	17.0	12.0	14.5	27.0	36.0	154.0	169.0	17.0	0.0	398.5	1.0	0.0	86.0	8.0	21.5	71.0	15.0	33.0	202.0	6.0	77.5	79.0	108.0	124.5	45.0	51.5	380.0	122.0	0.5	0.0	0.0	0.0	0.0	0.0	0.5	1.5	152.5	91.0	0.0	82.5	25.0	166.5
Astroviridae	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.5	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	5.0	0.0	3.0	0.0	28.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
