	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Picrophilaceae	93.0	100.5	1076.5	36.5	60.0	1175.0	488.5	58.5	402.5	169.5	993.0	793.0	5.5	563.0	126.0	128.5	160.0	678.0	696.0	420.5	321.5	2.0	848.0	216.5	1.0	804.5	322.5	235.0	1980.0	888.5	239.5	806.5	75.5	920.5	625.5	525.0	681.5	1243.5	830.0	1210.0	9894.0	1.0	3.5	8.5	11.5	12.0	5.5	8.5	13.5	328.0	811.0	2.5	648.5	391.5	688.0
Thermoplasmataceae	37.0	81.0	523.5	17.0	71.0	1130.0	238.5	10.5	473.0	56.0	566.0	288.5	3.5	419.0	42.0	25.0	129.0	340.5	613.5	189.5	344.5	1.5	246.5	112.0	1.0	293.0	56.0	154.0	450.5	67.5	140.0	1219.5	60.5	412.5	495.0	460.0	230.0	633.0	255.0	729.5	758.5	2.0	1.0	2.0	2.0	1.0	0.0	2.5	4.0	68.0	347.0	3.5	165.5	130.5	269.0
Methanocorpusculaceae	17.0	65.0	233.0	26.5	25.0	285.0	178.0	10.5	102.5	30.0	250.0	741.5	1.0	122.5	4.5	8.5	57.0	128.0	216.0	137.5	84.0	0.0	126.0	63.0	1.0	158.0	70.5	94.5	178.0	20.5	51.0	234.5	12.5	179.0	222.0	183.0	251.5	235.5	142.0	410.5	411.5	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	15.5	191.0	0.0	20.0	46.0	30.5
Ferroplasmaceae	40.0	73.0	220.5	6.0	35.0	591.0	135.0	141.0	163.5	59.0	556.5	197.0	1.0	238.5	28.5	32.0	82.0	207.5	374.5	186.5	46.0	0.0	191.0	115.0	1.0	453.5	57.5	155.0	191.5	93.0	81.5	409.0	33.0	311.0	422.5	251.0	159.5	345.0	279.0	589.0	526.0	0.0	0.0	2.0	3.0	2.5	0.0	2.5	1.5	25.5	283.0	0.0	131.5	124.5	285.0
Thermofilaceae	97.0	136.5	1659.5	35.0	220.5	1757.5	930.0	27.0	1203.5	149.5	1405.5	1130.0	12.0	715.0	156.5	104.0	376.0	658.5	1314.0	671.5	489.5	6.5	670.0	375.5	3.0	848.5	261.5	353.0	1503.5	390.5	347.5	3130.5	102.5	778.5	1033.5	4232.0	673.0	1344.5	1727.5	2119.0	1513.0	2.0	4.0	1.5	3.0	4.0	6.0	3.0	4.0	270.0	1021.0	5.0	643.5	484.0	3299.5
Sulfolobaceae	672.5	1479.5	7658.5	248.5	781.0	10078.0	5491.5	950.5	6749.0	1255.5	8876.5	9123.0	57.0	3524.0	1150.5	1045.5	3780.0	3385.5	7731.5	3620.5	2961.0	23.0	4135.0	2904.5	35.5	6504.0	1980.0	2478.5	8883.5	7370.0	2567.0	6663.0	518.5	6655.5	4338.0	8466.5	3617.0	8684.0	8430.0	13742.5	13718.0	32.5	27.0	21.0	12.0	28.5	29.5	35.0	22.0	6456.5	6743.5	36.0	14422.5	2835.0	19508.0
Methanotrichaceae	343.0	1189.5	5384.0	351.0	650.0	7071.0	2390.0	232.0	4527.5	704.0	7936.0	3720.0	31.0	3552.0	585.5	493.5	1670.5	3313.5	5283.5	2171.0	1271.5	19.0	2681.0	1710.0	17.5	7035.0	1294.0	1400.5	4693.5	1344.0	1326.5	7371.0	364.0	3825.0	5376.5	9340.5	2675.0	6141.0	6103.0	9103.5	7711.0	5.5	7.0	11.5	14.0	15.0	18.0	11.0	22.5	1682.5	5051.0	14.0	3089.0	2065.5	8255.0
Methanopyraceae	580.5	1113.0	4740.5	180.5	703.0	7718.5	2380.0	328.5	6564.0	569.0	6571.5	3973.5	29.0	8520.0	498.0	477.0	2520.0	3617.5	5854.0	2719.5	3710.5	29.0	3284.5	2200.0	19.0	3982.5	1166.0	1177.5	8189.5	1995.0	1595.5	7251.5	350.0	3706.0	3184.0	5659.0	2612.0	6353.5	4662.0	10292.5	6619.5	12.5	12.5	10.0	12.0	21.5	12.0	28.0	21.0	2672.0	4512.5	15.0	7330.5	2240.5	7189.0
Methanocaldococcaceae	4670.5	6262.0	37370.5	1703.5	6535.5	41131.0	23200.5	2982.5	34930.5	4987.5	45087.5	44322.0	242.0	13359.0	6203.0	5466.5	19650.5	14988.5	40758.0	18705.5	14449.5	189.5	30093.0	14660.0	151.0	44476.0	14331.5	16416.5	55464.5	18633.0	12919.5	36335.0	1546.0	32178.5	17755.5	37392.5	18190.5	50416.5	39227.5	65281.5	87474.0	78.5	116.0	99.0	91.0	152.0	122.5	159.0	166.5	17958.0	24914.0	136.5	39072.0	14343.0	97564.0
Methanospirillaceae	0.0	12.5	94.0	4.0	2.0	53.5	27.0	11.5	35.0	7.5	107.0	66.5	0.0	71.0	2.0	5.0	17.0	54.0	122.0	34.0	14.0	0.0	21.0	17.5	1.0	232.5	10.0	19.0	61.0	33.5	2.0	53.0	12.0	39.0	83.5	37.0	36.0	46.5	21.5	112.5	43.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	73.0	0.0	4.0	26.0	29.5
