Sample	Patient	Cohort	Read1	Read2
Amanhi_98	Amanhi_98	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_98_S81/Amanhi_98_S81_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_98_S81/Amanhi_98_S81_R2_001.fastq.gz
Amanhi_99	Amanhi_99	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_99_S82/Amanhi_99_S82_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_99_S82/Amanhi_99_S82_R2_001.fastq.gz
Amanhi_100	Amanhi_100	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_100_S83/Amanhi_100_S83_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_100_S83/Amanhi_100_S83_R2_001.fastq.gz
Amanhi_101	Amanhi_101	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_101_S84/Amanhi_101_S84_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_101_S84/Amanhi_101_S84_R2_001.fastq.gz
Amanhi_102	Amanhi_102	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_102_S85/Amanhi_102_S85_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_102_S85/Amanhi_102_S85_R2_001.fastq.gz
Amanhi_103	Amanhi_103	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_103_S86/Amanhi_103_S86_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_103_S86/Amanhi_103_S86_R2_001.fastq.gz
Amanhi_104	Amanhi_104	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_104_S87/Amanhi_104_S87_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_104_S87/Amanhi_104_S87_R2_001.fastq.gz
Amanhi_105	Amanhi_105	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_105_S88/Amanhi_105_S88_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_105_S88/Amanhi_105_S88_R2_001.fastq.gz
Amanhi_106	Amanhi_106	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_106_S89/Amanhi_106_S89_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_106_S89/Amanhi_106_S89_R2_001.fastq.gz
Amanhi_107	Amanhi_107	Amanhi	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_107_S90/Amanhi_107_S90_R1_001.fastq.gz	/oak/stanford/groups/quake/miramou/amanhi/raw_data/Amanhi_107_S90/Amanhi_107_S90_R2_001.fastq.gz
