taxid	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
2161	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.5	1.5	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	155.0	5.0	39.0	0.5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	7.0	1.0	20.5	27.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0
2162	4.0	19.0	136.0	7.0	39.0	256.5	49.0	3.0	146.0	16.0	221.5	35.0	1.0	148.0	4.0	5.5	29.0	133.0	136.0	53.0	54.0	1.0	74.0	39.5	1.0	135.0	40.0	18.0	74.0	15.0	15.0	158.0	18.0	75.0	201.5	237.5	75.5	127.0	123.0	162.0	205.5	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	21.0	235.0	2.0	4.0	64.0	48.0
2164	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	1.0	0.5	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	38.5	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2171	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2173	2.0	1.0	0.0	0.0	2.0	7.0	8.0	0.0	0.0	0.0	0.0	25.5	0.0	0.0	0.0	0.0	20.0	8.0	21.0	0.0	0.0	0.0	2.0	0.5	0.0	11.0	0.0	0.0	63.0	0.0	4.0	14.0	0.0	9.0	17.0	3.5	1.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2180	1.0	2.5	8.0	0.0	1.0	7.5	2.0	0.0	2.0	3.0	35.0	7.0	0.0	12.0	0.0	0.0	14.0	24.0	8.0	0.0	0.0	0.0	8.0	8.0	0.0	24.0	7.0	0.0	14.0	231.0	0.0	13.0	0.0	10.0	8.0	14.0	6.5	29.0	17.0	6.5	37.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
2181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	13.0	0.0	0.0	2.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2187	27.0	33.5	335.0	8.5	34.0	375.5	177.0	11.5	182.5	25.5	326.0	186.5	2.5	145.5	42.5	33.5	91.0	110.0	310.0	71.0	43.0	1.0	97.5	118.0	0.0	140.5	60.0	110.0	331.0	189.0	70.5	261.0	11.5	215.5	228.5	207.0	95.0	361.0	307.0	566.5	510.0	2.0	2.5	3.5	1.0	0.0	3.0	1.0	1.0	131.5	277.0	2.5	81.5	73.0	4206.0
2188	0.0	0.0	0.0	0.0	1.0	6.0	0.0	1.0	0.0	3.0	6.0	13.0	0.0	0.0	0.0	0.0	0.0	14.0	14.0	2.0	1.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	52.0	0.0	5.0	5.0	0.0	5.0	4.5	19.0	2.5	5.0	4.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
