	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3	SAMPLE_NTC_1	SAMPLE_NTC_2	SAMPLE_NTC_3	SAMPLE_NTC_4	SAMPLE_NTC_5	SAMPLE_NTC_6	SAMPLE_NTC_7	SAMPLE_NTC_8	SAMPLE_water1_1	SAMPLE_water2_1	SAMPLE_water3_1	SAMPLE_water4_1	SAMPLE_water5_1	SAMPLE_water6_1
Candidatus Brocadiia	38.5	140.5	917.5	26.5	63.0	1393.5	287.0	15.0	453.5	82.0	1321.5	372.5	2.0	936.0	27.0	33.0	120.5	980.0	636.5	299.0	139.0	4.0	300.5	234.0	4.5	581.0	101.5	146.5	459.0	252.0	291.0	1030.0	92.0	435.0	852.0	757.5	430.0	887.0	769.5	1319.5	766.5	2.0	0.0	4.0	2.0	3.0	5.0	2.0	3.0	54.0	654.0	1.0	202.5	196.0	98.0
Terrimicrobiia	0.0	6.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	1.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
Thermodesulfovibrionia	15.0	24.5	179.5	6.0	30.0	368.0	112.0	4.0	113.5	33.5	305.5	89.0	1.0	170.5	20.0	16.0	40.0	185.5	235.5	85.5	138.0	1.0	110.5	61.0	0.0	123.0	25.0	39.5	170.5	34.0	30.0	240.0	19.0	143.5	192.5	195.0	99.5	260.0	166.5	372.5	166.5	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	39.5	257.5	0.0	37.5	58.0	71.5
Desulfuribacillia	0.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thermodesulfobiia	13.0	21.5	228.0	4.0	11.0	244.5	117.0	10.5	180.0	26.0	195.0	58.0	1.0	115.0	24.5	8.5	60.5	213.5	75.5	49.0	42.0	0.0	139.5	44.5	1.0	196.5	30.0	28.5	95.0	46.0	64.0	289.0	6.5	221.0	161.0	168.5	92.5	229.0	129.5	1011.0	199.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	32.0	142.5	0.0	37.0	86.5	80.0
Syntrophobacteria	64.5	139.0	884.0	25.5	163.0	1406.5	382.5	22.5	576.0	103.5	1423.5	471.5	4.5	703.0	66.0	118.0	233.0	701.0	803.5	427.0	338.5	4.0	417.5	256.0	4.5	532.0	140.0	227.0	454.0	216.5	340.0	1111.0	93.0	731.0	948.0	897.5	422.0	1102.5	745.0	1672.5	1285.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0	2.0	208.5	1104.5	6.0	302.0	403.5	618.0
Desulfobacteria	148.0	418.5	1771.0	73.5	493.5	3375.5	874.0	50.0	1326.5	276.0	3454.5	1078.0	8.5	1822.0	127.0	96.5	482.5	2031.5	2091.5	1103.0	661.0	13.0	929.0	570.0	15.5	1808.0	384.5	492.0	1558.5	792.5	566.5	2614.0	312.0	1666.0	1999.0	2086.5	1052.0	2953.5	1883.0	4542.0	2838.5	1.5	5.0	6.0	4.5	4.5	3.0	12.0	11.0	410.0	1962.0	2.0	418.5	724.0	1459.0
Cyanophyceae	11573.0	20943.0	116099.0	4771.0	9593.0	172813.0	64753.5	5880.5	165956.5	17993.5	176550.0	69671.0	733.0	59301.0	7876.0	7435.5	36840.5	74320.5	105727.5	60052.0	45093.0	569.0	92955.0	40963.5	530.0	101638.0	34250.5	35719.0	126276.0	67894.0	30988.0	113321.5	7862.0	108558.0	71161.0	97975.0	80019.0	165965.5	163476.5	252682.0	1773427.5	239.0	341.5	978.0	1319.0	2088.0	1389.5	2067.0	2387.0	34726.5	150056.5	370.5	56329.5	63114.5	108517.0
Bdellovibrionia	897.5	1962.0	12857.0	360.5	22866.5	15689.5	3313.0	298.5	9077.5	1399.0	16988.0	5340.0	59.0	9392.0	1033.5	700.0	3041.0	8702.0	10455.5	5664.0	3325.0	51.5	5535.5	3811.0	60.0	7606.0	2474.0	2526.0	16428.0	2408.5	2325.0	11582.5	905.5	9231.5	10653.5	10174.0	7149.5	13679.5	9679.5	20536.5	18690.5	27.0	11.5	35.0	22.0	34.5	39.5	41.5	48.0	1672.0	11065.5	24.5	2396.0	3675.5	5541.5
Bacteriovoracia	211.0	930.5	1883.0	77.5	281.5	4134.5	887.5	61.0	1783.5	234.0	3207.0	1225.5	12.5	1847.0	363.0	172.5	728.5	1959.0	2804.0	822.0	766.0	11.0	1080.0	729.0	12.0	1591.5	406.0	575.5	1803.5	572.0	672.0	2465.5	209.0	1576.0	1788.0	2001.0	1507.0	3051.5	1813.0	5016.0	3427.0	5.0	4.0	7.0	7.5	15.0	5.5	16.0	11.5	501.0	2962.5	4.5	721.0	723.5	1101.5
