gene	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100177_2	SAMPLE_100206_2	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100177_1	SAMPLE_100177_3	SAMPLE_100206_1	SAMPLE_100206_3	SAMPLE_100257_3
ENSG00000004700	282	317	309	314	0	111	247	235	531	1	1432	771	1	422	436	461	421	201	954	121	968
ENSG00000004766	112	219	77	152	1	33	100	86	279	1	345	240	1	74	241	237	62	74	384	44	502
ENSG00000004776	12	7	2	25	0	4	3	2	0	0	7	10	0	0	0	1	30	0	18	3	8
ENSG00000004777	56	39	3	10	1	27	28	1	99	0	76	43	0	0	30	50	39	3	25	36	5
ENSG00000004779	78	161	201	114	1	72	91	18	439	3	863	501	1	115	207	604	169	50	838	67	717
ENSG00000004799	117	68	167	277	6	68	73	55	270	0	253	318	3	262	60	124	254	132	560	96	853
ENSG00000004809	4	13	36	13	0	15	8	2	0	0	0	18	0	0	4	9	65	0	102	10	0
ENSG00000004838	4	27	4	0	0	7	0	0	0	0	2	2	1	1	3	19	2	0	1	14	0
ENSG00000004846	1	19	0	0	0	6	17	0	12	0	0	4	0	0	0	15	13	0	18	5	4
ENSG00000004848	0	10	9	0	0	17	30	14	1	0	0	3	0	0	5	0	8	4	11	37	0
ENSG00000004864	122	176	49	204	1	28	38	32	17	0	48	288	0	0	186	80	59	33	329	29	300
ENSG00000004866	156	159	26	404	1	22	39	141	86	1	109	302	1	85	140	221	190	69	275	25	22
ENSG00000004897	489	655	299	1120	9	154	506	339	1080	3	1005	1137	2	381	648	1177	739	196	2019	116	1323
ENSG00000004939	1917	1404	592	5135	12	382	1218	419	14470	13	3246	4942	17	397	4443	11708	5439	1660	21720	154	7634
ENSG00000004948	0	11	4	1	0	17	5	0	0	0	0	2	0	2	8	0	1	0	5	9	0
ENSG00000004961	65	62	207	182	1	27	170	13	178	2	418	193	2	192	168	222	132	61	691	65	225
ENSG00000004975	95	145	86	59	0	77	60	46	67	0	200	164	0	113	97	58	72	163	326	29	61
ENSG00000005001	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	2	2	3	0
ENSG00000005007	482	577	470	612	8	481	405	151	713	4	1504	1420	3	241	1137	855	388	638	3569	184	938
ENSG00000005020	3140	4836	827	5183	23	1658	1795	4323	1546	21	2903	3164	14	1884	1843	3524	1974	587	8919	477	3640
ENSG00000005022	518	718	534	674	3	239	547	260	1672	1	2786	2035	4	574	1319	1887	806	507	2990	225	2565
ENSG00000005059	244	261	117	175	1	63	308	171	404	0	649	582	1	95	365	610	282	303	656	56	230
ENSG00000005073	1	14	25	1	0	6	9	2	0	0	5	3	0	12	5	0	51	3	7	23	0
ENSG00000005075	109	209	98	283	4	259	374	139	533	1	880	470	0	232	783	1458	387	97	4953	116	1143
ENSG00000005100	41	91	57	112	1	27	52	6	92	0	103	155	1	43	79	22	60	24	128	32	24
ENSG00000005102	32	27	78	0	1	6	19	7	74	0	97	24	0	43	0	38	18	37	81	13	0
ENSG00000005108	1	32	67	1	0	14	8	21	4	0	157	2	0	0	3	0	13	3	54	14	136
ENSG00000005156	229	367	28	240	0	166	81	106	187	0	383	443	4	192	346	282	150	253	623	100	333
ENSG00000005175	257	419	258	578	2	465	610	279	416	2	1018	1117	0	378	661	502	396	147	2465	222	776
ENSG00000005187	46	61	12	69	2	8	76	0	38	0	74	47	0	47	77	261	87	112	164	29	26
ENSG00000005189	14	37	20	82	0	15	44	1	45	0	34	70	0	0	10	0	116	4	106	15	0
ENSG00000005194	99	135	50	77	1	15	60	35	185	0	250	128	1	28	148	143	112	137	233	62	196
ENSG00000005206	256	213	65	216	0	16	82	9	129	0	43	165	0	1	305	77	52	44	217	16	2
ENSG00000005238	245	348	73	602	1	472	265	150	333	3	391	812	2	83	903	403	403	217	5066	38	183
ENSG00000005243	10	6	15	5	0	4	0	0	9	0	0	13	0	29	0	48	0	0	0	0	0
ENSG00000005249	2831	3480	1866	6429	24	385	1244	3087	1082	9	2546	2846	16	1085	678	6401	2404	687	5366	313	1440
ENSG00000005302	322	524	294	396	1	268	466	150	795	0	1146	1156	2	183	477	539	298	162	2217	179	1771
ENSG00000005339	2425	2952	1141	3180	21	3004	3655	776	2936	8	3952	5334	18	1302	5773	3834	2711	1358	19162	836	5001
ENSG00000005379	508	947	76	312	1	112	558	146	319	2	207	1079	1	42	602	194	194	2	700	76	161
ENSG00000005381	27	30	17	46	0	168	85	8	59	1	89	101	1	27	76	185	27	187	1170	53	401
ENSG00000005421	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	24	1	0	0
ENSG00000005436	88	98	100	99	0	32	68	31	209	0	220	311	2	163	107	112	116	109	137	35	85
ENSG00000005448	18	46	34	14	0	4	39	8	143	0	20	54	0	0	46	22	9	20	9	15	73
ENSG00000005469	31	45	34	33	0	21	47	22	52	0	88	76	0	0	36	0	59	43	97	21	18
ENSG00000005471	82	49	5	35	0	15	94	33	131	0	2	5	0	27	79	0	16	67	77	47	22
ENSG00000005483	3143	3360	1406	4869	24	3008	2580	1514	2862	12	4858	6513	11	1154	4525	3237	2124	1295	18591	736	4533
ENSG00000005486	108	107	2	198	0	58	126	80	11	0	198	139	1	60	168	219	160	133	956	27	328
ENSG00000005513	2	23	1	1	1	8	9	1	0	0	2	3	0	0	0	0	0	118	3	23	1
ENSG00000005700	396	569	257	679	4	91	389	327	638	3	998	943	0	172	339	977	414	304	1312	171	1150
ENSG00000005801	44	78	15	43	0	18	52	21	65	0	195	153	2	0	45	67	85	6	161	18	134
ENSG00000005810	2533	3559	1467	2711	15	1110	2126	911	2027	12	3874	4578	13	1348	3534	2669	1788	1003	6846	738	4132
ENSG00000005812	592	779	353	1069	7	372	546	294	953	7	2849	1675	0	968	1133	963	882	443	5249	185	2581
ENSG00000005844	2103	5073	664	2635	26	1345	1908	635	2045	9	2669	5877	6	663	3618	2555	2165	756	9550	660	1172
ENSG00000005882	57	76	38	141	2	77	204	21	136	1	149	166	0	38	69	197	72	64	265	40	91
ENSG00000005884	8	71	10	6	0	6	1	9	30	0	27	39	0	22	8	0	16	1	17	22	1
ENSG00000005889	448	671	201	645	5	392	620	279	884	3	1569	1175	4	309	1117	591	495	367	3201	144	1102
ENSG00000005893	232	375	131	716	3	1101	626	116	217	3	154	469	2	108	855	658	538	21	6304	45	48
ENSG00000005961	2033	1578	1337	6155	12	168	322	1246	382	9	801	813	11	54	459	2313	2952	593	1757	119	633
ENSG00000005981	0	12	14	0	0	6	0	0	0	0	0	0	0	0	1	0	0	7	0	1	0
ENSG00000006007	205	229	153	452	1	143	196	66	234	1	491	423	2	159	242	649	330	79	1172	59	782
ENSG00000006015	112	135	57	43	1	34	160	6	163	0	150	251	0	12	87	152	89	46	640	56	193
ENSG00000006016	0	9	0	0	0	12	5	0	2	0	0	1	0	0	0	0	0	0	14	8	0
ENSG00000006025	134	197	26	42	1	26	141	4	155	0	253	414	1	18	210	160	52	6	231	27	81
ENSG00000006042	4	27	3	2	0	23	10	20	3	0	3	1	0	7	1	49	22	8	9	7	6
ENSG00000006047	0	12	0	2	0	20	8	1	4	0	3	6	0	4	0	0	1	3	0	17	1
ENSG00000006059	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	392	494	165	538	0	157	267	133	321	0	561	713	4	365	562	502	321	5	1237	164	412
ENSG00000006071	0	14	1	0	0	4	5	3	0	0	3	2	0	1	0	2	1	6	1	14	0
ENSG00000006116	1	34	23	0	1	20	10	1	0	0	5	1	0	2	22	10	6	2	2	12	1
ENSG00000006118	1	43	23	8	0	35	19	3	2	0	16	8	0	33	7	4	6	2	20	81	2
ENSG00000006125	1037	1379	1089	2272	11	432	948	813	1809	10	3602	2397	6	856	1029	1926	1491	1030	4941	398	3551
ENSG00000006128	0	2	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	13	1	0	0
ENSG00000006194	154	150	69	152	1	74	83	55	297	1	337	394	0	162	238	270	80	120	828	42	626
ENSG00000006210	3	17	21	0	0	2	1	53	31	0	109	12	2	1	24	90	30	1	42	16	113
ENSG00000006282	45	68	17	18	1	22	16	11	44	0	64	82	0	0	35	19	20	75	101	2	56
ENSG00000006283	2	43	31	2	0	59	43	9	22	1	11	11	0	15	12	8	31	11	31	100	5
ENSG00000006327	14	49	1	89	0	21	12	0	49	0	10	165	0	2	112	0	70	0	472	2	32
ENSG00000006377	0	8	0	1	0	3	1	0	0	0	0	0	0	0	0	5	0	10	6	9	0
ENSG00000006432	107	112	0	18	1	42	69	38	27	1	70	77	0	9	252	142	71	28	180	41	56
ENSG00000006451	147	136	273	239	1	85	221	203	508	1	776	811	2	212	197	531	206	264	1092	118	950
ENSG00000006453	8	32	1	0	0	5	2	2	22	0	1	20	0	1	3	2	0	1	0	2	76
ENSG00000006459	974	1257	439	1708	11	780	884	259	1258	5	1500	2054	6	237	1314	1348	1081	404	5338	234	2133
ENSG00000006468	0	29	5	0	1	1	0	42	5	0	0	37	0	0	0	0	22	3	1	2	0
ENSG00000006530	84	131	51	73	0	18	14	7	328	1	273	352	1	75	57	90	127	33	280	37	187
ENSG00000006534	199	384	152	420	2	99	179	68	217	2	477	253	1	197	512	765	428	102	1419	128	911
ENSG00000006555	3	56	14	9	0	18	3	4	62	0	100	64	0	36	40	0	45	0	161	33	1
ENSG00000006576	530	842	72	1057	2	75	225	175	208	3	310	732	4	91	711	396	310	116	1143	99	396
ENSG00000006606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006607	643	617	119	743	7	119	372	188	424	4	592	939	1	150	703	269	401	64	1232	141	833
ENSG00000006611	0	22	0	0	0	0	19	1	2	0	1	0	0	2	1	0	5	0	3	5	0
ENSG00000006625	22	51	0	37	1	11	16	39	95	1	169	135	0	0	52	95	43	46	158	16	304
ENSG00000006634	206	213	1	228	3	27	149	114	257	3	790	399	0	32	321	121	227	21	701	21	129
