gene	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100177_2	SAMPLE_100206_2	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100177_1	SAMPLE_100177_3	SAMPLE_100206_1	SAMPLE_100206_3	SAMPLE_100257_3
ENSG00000124140	10	62	11	7	0	20	73	55	80	1	40	50	0	4	11	5	21	6	26	26	18
ENSG00000124143	1	14	0	0	0	1	0	0	0	0	0	1	0	0	0	0	4	1	17	3	0
ENSG00000124145	39	83	10	101	1	12	37	53	42	1	2	6	0	64	55	268	83	12	183	14	0
ENSG00000124151	2163	2323	1132	3550	12	849	1789	618	1670	11	3324	4898	4	1143	4479	2001	1206	1018	6182	626	2966
ENSG00000124155	78	172	54	274	2	36	139	1	85	0	325	338	0	31	308	237	120	50	838	25	125
ENSG00000124157	0	21	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000124159	2	5	0	0	0	2	7	4	0	0	1	0	0	0	2	8	0	0	4	18	0
ENSG00000124160	121	189	166	174	2	101	246	67	379	2	1237	480	0	68	165	606	212	390	738	119	523
ENSG00000124164	1301	1255	624	4245	12	307	590	720	1599	14	1527	3167	6	702	1064	1873	1292	482	7326	199	1780
ENSG00000124171	21	26	0	13	0	0	84	0	83	0	26	46	0	10	14	12	1	21	44	10	129
ENSG00000124172	1083	1288	1215	2566	21	887	1619	932	4679	12	6440	5191	12	1984	3317	4032	2106	1034	10848	598	7648
ENSG00000124177	1693	1829	536	1940	5	667	1087	817	1163	6	2536	2203	6	896	1794	1035	900	819	2675	502	1565
ENSG00000124181	438	467	399	358	3	121	278	122	895	1	1414	1359	2	65	317	342	305	395	913	125	737
ENSG00000124191	55	53	30	20	0	21	174	23	176	1	173	228	1	14	125	149	46	27	376	54	157
ENSG00000124193	1450	1743	695	4364	31	313	771	831	1221	7	1825	2581	4	344	1256	2246	1603	581	4596	203	1113
ENSG00000124194	0	17	1	0	0	3	0	1	0	0	0	0	0	0	0	0	2	1	0	6	9
ENSG00000124196	0	7	8	0	0	0	0	0	0	0	10	6	0	0	7	0	0	0	0	2	0
ENSG00000124198	642	667	429	903	5	163	294	238	775	1	1226	985	2	227	820	662	218	342	1271	172	893
ENSG00000124201	1703	1808	1076	3337	45	2314	2067	577	2932	11	5053	5554	10	702	3922	3215	1669	1134	18154	517	4027
ENSG00000124203	120	218	149	78	4	168	285	26	623	1	866	629	2	152	145	200	108	86	477	84	506
ENSG00000124205	9	34	3	5	0	66	25	2	4	0	18	12	1	0	17	3	14	1	24	31	0
ENSG00000124207	280	263	200	446	0	34	218	180	383	14	681	515	2	190	283	447	191	93	813	81	475
ENSG00000124208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124209	272	432	310	433	3	153	307	161	688	0	1348	899	0	370	670	464	368	794	1829	86	1453
ENSG00000124212	13	35	17	0	0	29	3	0	15	0	63	24	0	0	3	0	0	9	1	7	0
ENSG00000124214	724	860	397	1370	9	631	899	394	1296	5	1822	2116	4	524	1560	1231	858	496	7132	180	1938
ENSG00000124215	19	57	9	9	0	94	53	10	8	0	1	12	0	7	6	52	69	12	78	76	1
ENSG00000124216	3	6	11	7	0	0	4	0	0	0	0	2	0	0	2	37	26	0	8	0	0
ENSG00000124217	21	30	0	9	0	10	0	4	29	0	120	68	1	34	8	16	12	0	43	13	1
ENSG00000124222	566	723	219	859	1	331	282	89	328	0	510	917	4	101	752	479	326	116	2139	122	252
ENSG00000124224	129	130	13	325	1	81	9	25	87	0	70	241	0	79	137	52	88	12	1526	35	146
ENSG00000124225	27	53	10	10	0	7	19	32	48	1	56	20	0	10	20	0	10	0	41	20	17
ENSG00000124226	397	534	152	633	2	182	160	103	1033	0	902	1168	3	142	648	426	268	174	2195	148	1431
ENSG00000124227	2	2	0	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	3	7	0
ENSG00000124228	1450	1188	850	1290	14	411	936	299	1067	4	2242	2779	3	223	1735	1566	766	712	5618	306	1570
ENSG00000124232	0	8	3	1	0	5	15	1	3	0	0	1	0	0	6	1	1	7	14	16	3
ENSG00000124233	0	12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	3	2	0
ENSG00000124237	0	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0
ENSG00000124243	213	107	0	74	1	54	176	77	350	2	322	409	2	54	137	286	132	26	225	29	233
ENSG00000124249	0	9	0	0	0	6	3	0	3	0	7	2	0	8	0	0	7	0	4	13	1
ENSG00000124251	1	12	2	1	0	7	18	0	0	0	1	5	0	0	1	9	2	0	0	25	0
ENSG00000124253	0	36	0	4	0	1	44	1	1	0	0	4	0	3	3	18	12	60	3	30	0
ENSG00000124256	320	315	220	447	1	708	531	53	453	4	486	737	3	172	676	325	337	121	3666	106	396
ENSG00000124257	3	6	3	10	0	9	6	0	0	0	108	1	0	0	8	7	21	0	1	7	0
ENSG00000124260	0	17	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000124275	139	182	50	279	0	44	47	39	140	0	254	443	0	85	331	171	224	93	449	31	141
ENSG00000124279	9	42	4	18	1	10	6	3	17	0	26	129	0	95	50	43	53	3	127	0	132
ENSG00000124299	120	198	365	150	0	57	34	114	601	0	637	614	0	199	197	604	144	247	658	48	884
ENSG00000124302	3	28	0	1	1	21	2	7	12	0	0	62	0	32	1	1	6	0	19	6	0
ENSG00000124313	65	170	42	121	0	55	100	5	41	0	104	157	0	18	197	306	264	65	188	70	83
ENSG00000124333	601	753	309	1914	9	180	396	525	551	2	1352	883	4	440	293	864	967	210	1877	118	385
ENSG00000124334	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124343	0	10	0	16	0	16	0	0	0	0	0	0	0	0	0	0	26	0	17	2	0
ENSG00000124356	162	228	153	310	1	233	256	213	370	3	752	493	3	138	408	539	135	94	1759	75	466
ENSG00000124357	324	705	351	662	12	685	539	88	660	3	925	1212	3	468	833	711	412	447	3909	248	1267
ENSG00000124370	30	28	1	43	0	13	22	4	127	0	80	75	0	20	42	51	46	0	52	8	94
ENSG00000124374	30	59	104	18	0	13	20	8	65	1	313	11	0	0	47	145	42	153	71	17	20
ENSG00000124380	384	425	290	569	4	163	347	189	614	4	1347	1355	1	522	851	836	445	350	1983	155	1210
ENSG00000124383	248	328	147	286	2	185	296	229	570	0	804	827	3	101	297	673	409	95	1219	93	1775
ENSG00000124391	1	1	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSG00000124399	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000124406	1363	1455	418	2105	7	195	479	604	419	3	680	1692	3	501	866	825	569	77	2455	137	343
ENSG00000124422	1026	1041	478	1707	2	357	688	352	934	2	2050	1753	5	870	1373	1210	955	519	3538	221	1201
ENSG00000124429	3	9	48	1	0	0	0	7	13	0	63	0	0	7	0	0	12	0	39	12	0
ENSG00000124440	5	29	98	6	0	11	74	12	30	0	50	1	0	1	1	3	6	0	39	14	25
ENSG00000124444	34	69	13	33	1	29	6	12	39	0	98	47	0	0	14	80	27	43	57	36	167
ENSG00000124449	0	11	2	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	3	0
ENSG00000124459	28	50	32	48	0	32	86	39	248	0	100	194	0	55	120	49	88	45	390	27	33
ENSG00000124466	1	13	0	16	0	0	2	0	0	0	0	3	0	0	4	0	0	0	73	7	0
ENSG00000124467	0	5	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124469	26	6	30	32	0	21	39	1	13	0	0	11	0	0	91	53	49	0	687	10	9
ENSG00000124479	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSG00000124486	1557	1585	541	2273	11	694	820	660	1293	9	3020	2782	12	723	2569	1766	1255	831	5541	512	2827
ENSG00000124490	0	7	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	28	1	0
ENSG00000124491	18331	19694	6332	37864	104	1511	4796	15803	3753	95	8703	13268	81	6205	3250	19764	14245	2257	20846	975	5538
ENSG00000124493	2	66	73	0	0	29	10	7	0	0	7	8	0	29	21	5	15	3	23	16	11
ENSG00000124496	166	388	71	173	3	341	402	74	519	2	1214	930	0	256	512	430	452	127	2210	125	337
ENSG00000124507	34	64	6	0	0	22	29	6	54	0	166	62	0	0	43	107	0	2	52	12	53
ENSG00000124508	184	204	108	170	1	93	109	6	72	0	245	350	0	20	460	177	109	88	637	40	55
ENSG00000124523	116	189	110	328	0	70	108	96	196	0	447	428	1	215	70	367	121	27	755	36	438
ENSG00000124532	89	111	88	172	0	24	38	125	214	0	533	517	0	67	74	245	110	69	446	56	298
ENSG00000124535	318	371	252	519	1	66	340	186	516	4	736	510	4	201	364	469	383	151	894	95	1154
ENSG00000124541	148	159	29	150	3	83	60	108	288	1	404	285	1	117	227	192	52	167	607	58	144
ENSG00000124549	17	51	9	11	0	3	7	0	18	0	0	133	0	0	35	7	30	1	85	5	0
ENSG00000124557	0	18	0	1	0	1	1	0	0	0	0	1	0	0	24	0	1	0	1	10	0
ENSG00000124562	303	413	303	320	5	120	374	233	1176	3	1652	1406	5	435	590	687	420	228	1901	180	1434
ENSG00000124564	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124568	0	11	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	5	0	4	9
ENSG00000124570	202	272	170	434	2	127	162	129	370	3	479	693	0	269	233	848	355	146	902	93	1033
ENSG00000124571	187	261	147	232	1	38	226	103	266	0	342	468	0	35	246	263	99	121	612	40	159
ENSG00000124574	91	176	13	58	0	52	80	2	28	0	89	158	0	13	93	13	61	0	109	7	62
ENSG00000124575	921	1359	217	620	5	610	779	158	1957	4	1169	2286	3	186	1093	631	1635	354	1395	188	1065
ENSG00000124587	69	87	26	36	0	30	59	16	24	1	154	122	0	62	82	277	167	92	403	15	82
ENSG00000124588	89	159	41	314	4	259	192	65	169	1	393	188	1	59	404	528	188	6	1513	61	866
ENSG00000124593	55	58	0	31	1	11	27	0	4	0	68	77	0	41	51	7	17	4	59	22	127
ENSG00000124596	116	170	174	138	1	61	131	70	297	2	631	253	0	200	324	299	65	6	650	46	343
ENSG00000124602	24	17	0	15	0	20	0	12	11	0	0	4	0	0	10	0	2	1	50	1	25
ENSG00000124608	35	57	24	34	0	33	36	1	52	0	25	63	0	5	51	63	105	4	58	58	245
ENSG00000124610	3	5	0	0	0	1	3	0	21	0	14	52	0	0	21	0	0	0	53	5	65
ENSG00000124613	12	20	24	0	0	5	23	4	0	0	69	0	0	0	2	0	0	7	0	1	0
ENSG00000124614	818	681	895	1595	9	424	1728	862	3961	8	6701	5225	7	997	2924	4547	1672	1131	8280	384	7003
ENSG00000124615	6	35	26	0	0	0	3	0	0	0	48	5	0	1	0	0	0	17	5	7	52
ENSG00000124635	495	745	159	811	5	130	212	594	654	6	520	1011	1	203	136	290	615	183	1713	142	213
ENSG00000124641	22	51	122	35	1	6	24	30	74	0	277	51	0	192	34	211	70	147	380	26	233
ENSG00000124657	9	16	2	0	0	12	1	17	49	1	17	24	0	0	0	4	4	18	32	41	1
ENSG00000124659	125	174	131	158	1	155	156	23	197	0	334	551	3	63	419	387	122	85	1058	64	354
ENSG00000124664	1	5	1	4	0	1	1	0	0	0	0	2	0	0	3	0	0	0	108	4	2
ENSG00000124678	1	9	0	0	0	4	3	0	0	0	4	0	0	0	0	0	1	0	0	6	1
ENSG00000124688	57	75	8	144	1	56	33	43	184	0	218	289	1	15	81	64	78	72	676	21	62
ENSG00000124701	0	0	0	2	0	0	0	0	7	0	0	2	0	0	0	0	0	0	48	0	0
ENSG00000124702	129	109	101	47	2	66	121	50	226	4	423	329	1	94	220	207	144	29	471	78	606
ENSG00000124713	2	29	0	16	0	19	7	0	0	0	0	4	1	6	3	10	0	0	80	15	0
ENSG00000124721	43	49	5	10	0	7	83	16	35	1	8	278	0	25	30	42	15	2	33	26	3
ENSG00000124731	163	181	40	1091	9	2863	2141	39	505	6	98	1630	2	26	3020	754	477	57	26140	39	258
ENSG00000124733	242	354	382	451	5	144	447	196	1038	1	1270	1156	1	366	543	1170	544	252	2009	123	714
ENSG00000124743	1	18	4	2	0	17	10	3	9	0	7	7	0	3	2	1	8	11	9	26	2
ENSG00000124749	0	10	0	4	0	3	1	0	3	0	4	0	0	0	0	1	11	1	55	11	0
ENSG00000124762	1006	1294	323	1551	7	323	763	183	473	0	686	2294	5	346	1208	1560	2026	268	3533	176	304
ENSG00000124766	337	589	197	647	17	435	634	115	346	18	678	484	3	64	734	847	752	269	770	163	243
ENSG00000124767	82	113	112	57	1	22	90	52	159	0	583	190	1	35	130	286	125	41	303	40	585
ENSG00000124772	245	285	227	422	3	105	322	245	319	2	595	534	2	87	178	547	415	56	1226	132	629
ENSG00000124780	0	18	0	0	0	2	0	0	4	0	0	2	0	0	8	0	3	1	0	18	11
ENSG00000124782	1554	1672	835	1944	6	829	1303	544	910	6	995	2548	9	354	1872	1489	1115	511	6100	681	1986
ENSG00000124783	668	1233	228	1175	5	693	765	530	821	3	827	1549	3	531	1406	1322	839	255	3989	223	1022
ENSG00000124784	256	211	272	376	1	56	268	52	289	1	572	462	2	221	213	204	278	23	433	89	821
ENSG00000124785	14	45	153	28	0	82	82	53	390	0	323	147	1	77	118	282	92	150	650	44	224
ENSG00000124786	33	28	99	22	0	55	22	36	71	1	90	27	0	5	18	96	28	40	110	33	97
ENSG00000124787	0	6	20	1	0	3	17	2	1	0	11	66	0	18	10	0	0	1	54	0	28
ENSG00000124788	510	903	632	621	10	702	896	373	1447	8	2670	2239	1	433	984	1124	583	634	4180	279	1508
ENSG00000124789	813	937	604	1521	7	720	656	574	1227	4	1570	2151	2	559	1345	1079	619	440	4811	249	748
ENSG00000124795	2745	3560	1698	3875	30	2096	2582	2050	4227	20	5417	6759	12	2289	3049	4548	2919	1598	17677	893	6552
ENSG00000124802	29	45	49	20	0	4	24	25	68	2	116	202	0	22	38	106	32	111	83	6	118
ENSG00000124812	0	4	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124813	99	168	21	255	1	407	316	6	174	0	327	394	0	58	233	285	245	71	2105	171	75
ENSG00000124818	3	28	0	0	0	3	2	0	0	0	0	0	0	0	0	5	0	0	86	1	0
ENSG00000124827	0	23	15	1	0	27	1	2	13	0	0	3	0	2	0	0	4	1	5	26	0
ENSG00000124831	5637	7560	2253	13062	48	4598	5335	1855	5726	19	10561	11973	25	1639	9778	6076	4230	2937	42935	1415	8375
ENSG00000124835	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000124839	0	23	0	4	0	18	7	1	1	0	2	3	0	0	0	0	8	0	2	14	2
ENSG00000124875	4	15	0	3	0	13	3	1	0	0	5	50	0	0	21	7	7	0	76	3	0
ENSG00000124882	51	16	10	149	2	27	16	51	19	0	0	19	0	0	19	444	6	10	262	1	0
ENSG00000124900	0	0	5	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	4	4	0
ENSG00000124915	0	6	4	1	0	5	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0
ENSG00000124920	13	56	18	1	0	26	51	9	42	0	5	10	0	0	6	32	7	26	14	29	75
ENSG00000124935	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124939	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124942	8341	19613	6257	10356	90	7668	16698	6315	15592	41	30784	26632	74	7168	23069	28187	11801	5796	35240	4119	25074
ENSG00000125037	433	595	95	1712	5	347	274	561	444	6	773	848	4	361	475	1047	755	140	4796	306	587
ENSG00000125046	0	12	13	8	0	2	23	0	0	0	2	0	0	10	0	0	0	0	8	0	3
ENSG00000125084	1	8	0	0	0	2	6	6	0	0	2	0	0	0	0	0	4	0	7	13	5
ENSG00000125089	584	624	122	336	1	88	124	129	352	0	409	647	0	23	727	408	217	99	715	209	459
ENSG00000125107	976	1599	1476	1405	12	796	1539	633	2670	7	4749	3276	5	1673	2118	2624	1493	1340	7428	594	3956
ENSG00000125122	14	14	0	8	0	7	11	0	0	0	4	33	0	0	52	7	32	0	60	10	0
ENSG00000125124	92	185	28	127	1	60	70	5	168	0	163	97	0	0	122	199	89	21	75	65	136
ENSG00000125144	0	3	0	0	0	0	1	0	0	0	51	34	0	0	0	0	0	0	1	0	0
ENSG00000125148	233	362	423	431	3	593	582	433	1586	2	1367	1336	1	357	279	326	655	96	2971	151	1570
ENSG00000125149	60	166	10	270	0	32	63	9	61	0	40	241	0	1	71	169	44	53	216	23	0
ENSG00000125166	77	146	51	58	0	21	125	36	203	0	552	291	1	184	250	240	101	137	560	58	797
ENSG00000125170	5	21	19	13	0	29	76	0	31	0	24	8	0	0	17	7	9	43	163	25	21
ENSG00000125207	2	8	0	0	0	3	2	0	0	0	0	1	0	44	3	0	7	1	1	13	0
ENSG00000125245	55	66	82	31	0	22	112	18	186	2	263	134	0	113	131	56	48	42	161	45	234
ENSG00000125246	1	43	18	11	0	15	0	21	45	0	20	43	0	3	42	10	70	12	24	11	116
ENSG00000125247	24	100	35	50	0	6	51	7	31	0	35	29	0	0	31	18	14	49	187	36	58
ENSG00000125249	274	479	623	329	7	533	535	413	876	3	1760	1009	7	624	411	635	376	644	1208	740	2005
ENSG00000125255	0	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
ENSG00000125257	895	1060	409	1113	4	67	89	373	674	7	998	1133	6	258	290	1013	543	99	2501	113	470
ENSG00000125266	23	58	46	22	0	16	2	70	92	0	220	10	0	36	6	34	27	50	120	14	190
ENSG00000125285	0	7	0	0	0	4	0	0	0	0	2	0	0	2	0	0	0	0	1	2	0
ENSG00000125304	427	636	55	454	3	346	226	102	302	2	376	617	1	87	669	419	387	51	1625	89	619
ENSG00000125319	16	8	25	39	0	2	0	0	28	0	1	11	0	0	4	0	2	3	6	4	14
ENSG00000125337	0	6	9	3	0	0	13	0	0	0	0	0	0	0	0	0	0	0	7	23	0
ENSG00000125347	2794	2901	1540	3805	35	2610	2673	765	4152	16	5045	8354	19	1077	6895	3377	2888	1387	39041	738	6201
ENSG00000125351	209	400	133	247	0	138	209	145	376	0	698	600	0	97	361	345	141	112	1129	41	399
ENSG00000125352	188	223	230	199	1	103	85	117	357	2	995	528	2	131	347	321	309	152	1374	71	389
ENSG00000125354	2868	2915	1862	3994	15	809	1634	1275	3401	31	5346	6684	7	1227	3409	3689	2140	1360	8812	799	3855
ENSG00000125355	0	9	13	14	0	13	2	1	0	0	2	28	0	0	12	0	8	3	10	12	0
ENSG00000125356	220	247	174	323	5	187	251	179	560	3	870	662	1	96	329	389	394	95	1545	124	745
ENSG00000125363	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125375	124	144	38	84	1	24	156	122	49	1	371	164	0	28	135	263	97	71	253	49	210
ENSG00000125378	2	3	0	0	0	7	0	0	0	0	7	2	0	0	0	0	0	3	2	10	0
ENSG00000125384	141	224	73	283	1	70	30	21	116	0	169	676	1	12	398	584	184	57	837	23	152
ENSG00000125385	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ENSG00000125386	702	909	450	1150	5	479	627	352	735	3	1251	1452	6	382	1159	1075	723	222	5306	205	1443
ENSG00000125388	96	95	6	166	2	6	18	91	68	0	90	146	0	41	24	56	44	1	109	22	45
ENSG00000125398	0	11	13	1	0	0	1	1	0	0	4	0	0	1	0	0	1	11	2	2	0
ENSG00000125409	0	7	0	0	0	0	5	17	0	0	0	0	0	0	0	0	0	0	13	1	8
ENSG00000125414	0	14	0	1	0	1	15	6	13	0	1	0	0	11	0	0	0	0	0	2	0
ENSG00000125430	30	43	7	1	0	15	5	12	13	0	99	61	0	0	46	16	8	0	112	18	0
ENSG00000125434	24	55	43	47	0	6	17	9	16	0	42	98	0	65	53	14	33	0	100	8	12
ENSG00000125445	108	174	73	130	1	48	207	101	378	1	494	500	0	65	217	376	145	13	410	72	315
ENSG00000125447	400	488	225	540	4	263	238	69	480	1	500	906	4	142	742	773	320	71	2722	90	807
ENSG00000125449	21	73	55	70	1	90	86	92	146	2	54	114	0	60	64	93	69	14	459	28	64
ENSG00000125450	142	203	46	124	0	34	5	49	41	0	31	158	0	0	167	72	104	1	201	35	413
ENSG00000125454	44	38	15	9	1	12	20	10	64	0	99	77	0	1	19	2	4	48	62	11	76
ENSG00000125457	92	96	78	123	0	60	76	31	138	0	250	446	1	120	179	251	233	68	298	23	222
ENSG00000125458	129	173	104	248	2	35	215	36	409	0	339	350	1	86	280	141	207	109	525	74	85
ENSG00000125459	10	30	7	3	0	5	23	0	23	0	3	5	0	0	7	0	1	3	2	3	0
ENSG00000125462	1	74	2	0	0	13	1	3	5	0	29	59	0	0	11	0	7	1	12	4	0
ENSG00000125482	130	127	75	173	2	93	155	45	216	0	258	302	0	115	97	204	86	38	1020	84	208
ENSG00000125484	104	170	49	99	3	96	148	71	233	0	546	347	1	111	153	69	143	56	517	83	169
ENSG00000125485	47	54	22	11	0	19	4	17	126	1	47	62	1	28	151	51	22	1	30	33	202
ENSG00000125492	0	1	3	0	0	20	21	0	6	0	7	0	0	0	1	0	5	4	0	5	0
ENSG00000125498	13	21	0	0	0	0	0	21	0	0	4	7	0	0	0	0	0	0	0	2	0
ENSG00000125503	1017	1258	396	1070	6	379	532	293	901	3	655	1519	2	175	1340	869	804	213	4285	181	481
ENSG00000125505	281	443	37	1270	9	978	1017	74	421	2	48	827	5	5	2562	1257	770	272	13939	58	265
ENSG00000125508	2	6	0	1	0	10	11	3	1	0	4	3	0	0	1	0	2	3	3	26	0
ENSG00000125510	26	39	11	11	0	78	54	11	14	0	1	81	0	0	73	15	3	0	234	22	0
ENSG00000125514	0	14	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5	15
ENSG00000125520	204	217	91	132	2	84	241	115	582	0	684	510	2	180	176	345	325	187	879	85	506
ENSG00000125522	0	4	0	1	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	7	11
ENSG00000125531	23	16	8	9	0	15	6	0	1	0	3	5	0	5	19	1	5	21	94	10	15
ENSG00000125533	2	7	0	1	0	2	4	4	0	0	0	0	0	0	2	0	0	0	3	3	0
ENSG00000125534	4670	3971	3896	9872	32	700	2045	2191	4308	19	6210	7081	14	2689	1911	8404	8586	3396	15323	692	6910
ENSG00000125538	71	79	37	252	2	164	159	57	178	0	213	418	8	41	323	23740	222	202	1810	53	598
ENSG00000125551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125571	3	28	2	3	0	7	0	28	0	0	7	4	0	4	2	3	2	0	1	11	1
ENSG00000125611	23	91	2	34	0	22	39	10	114	0	94	109	0	0	42	53	18	49	254	16	265
ENSG00000125618	1	32	24	0	0	3	15	0	5	0	0	0	0	0	0	28	0	4	7	5	110
ENSG00000125629	49	69	34	151	0	64	100	2	87	1	21	182	0	47	104	104	108	15	297	46	2
ENSG00000125630	87	97	28	30	3	24	23	102	285	0	360	135	0	156	56	123	62	172	267	32	257
ENSG00000125631	0	5	5	0	0	2	2	0	0	0	0	8	0	0	0	0	1	0	0	9	0
ENSG00000125633	764	682	173	970	5	282	237	151	348	2	476	988	3	253	965	389	173	199	1905	136	331
ENSG00000125637	761	1192	575	583	7	1174	1358	231	1212	8	2062	1912	4	231	1307	1576	843	683	7708	354	1874
ENSG00000125648	60	136	77	29	0	116	47	68	87	1	276	234	1	35	176	99	73	64	365	78	157
ENSG00000125650	1	5	7	4	0	6	6	0	24	0	19	13	0	0	40	15	0	0	4	11	0
ENSG00000125651	762	881	403	887	10	756	809	542	1824	5	1945	2345	6	417	1535	1541	861	926	8627	336	1786
ENSG00000125652	56	88	50	156	0	69	63	15	89	0	42	168	1	156	130	262	50	43	471	52	90
ENSG00000125656	69	147	168	82	0	92	173	72	313	0	471	500	1	54	133	395	109	286	527	103	324
ENSG00000125657	3	13	23	16	0	4	18	0	21	0	1	0	0	0	5	1	12	1	66	15	13
ENSG00000125675	2	18	18	1	0	10	3	2	0	0	3	4	0	0	1	1	18	1	7	16	18
ENSG00000125676	1422	2078	914	2048	10	685	953	892	1246	14	2036	2402	14	736	1353	1540	830	499	3686	549	2198
ENSG00000125686	321	512	443	430	2	225	296	167	706	2	1226	934	3	553	438	630	336	286	1421	149	1390
ENSG00000125691	4634	4078	4047	4305	35	1285	4507	2158	10307	24	15719	12691	36	3401	7988	15735	4936	3770	18588	1695	19112
ENSG00000125695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125703	125	157	25	260	1	27	110	204	58	0	47	161	2	280	119	224	159	172	334	40	250
ENSG00000125726	2	8	0	0	0	10	24	0	3	0	5	4	0	0	28	8	0	1	10	6	0
ENSG00000125730	22	96	4	194	0	80	42	102	208	0	216	75	1	10	66	67	30	226	201	57	176
ENSG00000125731	50	84	5	15	1	19	31	6	88	0	207	20	0	93	72	29	28	0	141	10	1
ENSG00000125733	96	115	174	189	1	103	127	29	197	2	271	258	1	0	190	376	121	87	369	82	262
ENSG00000125734	109	212	72	305	2	235	145	32	96	0	184	342	0	26	342	399	243	123	2824	65	192
ENSG00000125735	15	48	44	108	1	218	125	38	199	0	450	230	1	124	43	75	91	38	1282	49	229
ENSG00000125740	1414	993	122	937	2	1391	1130	494	348	4	215	2914	6	59	1728	251	776	442	4314	204	78
ENSG00000125741	82	103	2	38	0	32	79	12	109	0	424	300	0	34	114	206	63	25	220	22	525
ENSG00000125743	223	270	299	103	4	170	409	149	688	4	975	887	1	218	374	587	312	209	1388	188	686
ENSG00000125744	51	59	33	168	2	52	37	59	50	1	217	173	1	62	136	270	193	2	725	35	80
ENSG00000125746	88	174	62	133	1	60	114	40	139	0	201	476	0	74	129	160	245	52	411	55	218
ENSG00000125753	1288	2418	1538	3071	31	5023	3783	759	3404	17	4836	5752	22	697	7682	5755	3573	1612	49977	974	5283
ENSG00000125755	945	1036	331	791	4	150	366	201	648	1	1386	1397	7	313	1014	888	496	170	1692	233	1042
ENSG00000125772	1113	1231	170	2599	9	515	609	401	801	2	875	1564	4	225	1764	847	830	189	5154	158	980
ENSG00000125775	3	12	6	17	0	30	14	0	0	0	9	15	1	0	23	10	4	1	91	49	1
ENSG00000125779	374	525	352	743	2	298	283	181	583	2	783	760	5	207	665	645	360	275	3178	78	1465
ENSG00000125780	6	3	4	16	0	22	1	4	0	0	4	39	0	0	119	78	0	0	285	5	0
ENSG00000125787	0	4	0	0	0	2	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0
ENSG00000125788	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125798	0	30	11	0	0	23	24	5	1	2	0	12	1	0	27	1	15	4	7	22	6
ENSG00000125804	0	0	0	6	0	2	1	0	0	0	2	1	0	0	0	0	0	0	1	2	1
ENSG00000125810	550	681	47	1010	8	732	798	205	129	2	168	811	1	136	1087	1532	814	15	6416	92	62
ENSG00000125812	344	410	93	765	5	363	523	43	305	3	316	872	0	57	648	413	231	39	5947	51	336
ENSG00000125813	0	52	1	1	0	9	18	0	0	0	0	2	0	0	2	0	1	29	3	11	2
