sample	mapped_reads	mean_depth	pct_ge_1x	pct_ge_10x	pct_ge_20x	pct_ge_50x
cap261_ds_0p01	5662	44.997454	96.015054	86.694709	78.935134	34.514058
cap261_ds_0p05	27762	220.444211	97.133053	93.015276	90.580031	86.727917
cap261_ds_0p1	55347	439.768762	98.715962	94.266106	92.959929	89.960151
cap261_ds_0p25	138888	1103.091986	98.793447	96.114678	95.118441	92.893513
cap261_ds_0p5	278377	2211.295107	99.203011	97.376577	96.413549	94.531769
cap261_ds_1p0	557743	4429.732123	99.225149	98.671685	97.121984	96.247509
