genus	SAMPLE_100008_1	SAMPLE_100008_2	SAMPLE_100008_3	SAMPLE_100137_1	SAMPLE_100137_2	SAMPLE_100137_3	SAMPLE_100177_1	SAMPLE_100177_2	SAMPLE_100177_3	SAMPLE_100200_2	SAMPLE_100200_3	SAMPLE_100206_1	SAMPLE_100206_2	SAMPLE_100206_3	SAMPLE_100217_1	SAMPLE_100217_2	SAMPLE_100217_3	SAMPLE_100248_1	SAMPLE_100248_2	SAMPLE_100248_3	SAMPLE_100255_1	SAMPLE_100255_2	SAMPLE_100255_3	SAMPLE_100256_1	SAMPLE_100256_2	SAMPLE_100256_3	SAMPLE_100257_1	SAMPLE_100257_2	SAMPLE_100257_3	SAMPLE_100261_1	SAMPLE_100261_2	SAMPLE_100261_3	SAMPLE_100267_1	SAMPLE_100267_2	SAMPLE_100267_3	SAMPLE_100306_1	SAMPLE_100306_2	SAMPLE_100306_3	SAMPLE_100337_1	SAMPLE_100337_2	SAMPLE_100337_3
2158.0	95.0	203.0	1152.0	58.0	271.5	1766.5	498.0	15.0	1107.0	145.5	1463.0	2904.5	4.5	949.5	64.0	57.0	1032.0	948.5	1006.0	571.5	1334.0	3.0	449.0	439.0	2.5	1512.0	283.5	200.5	1429.5	541.5	284.5	2000.5	120.0	1081.5	1172.5	1484.0	544.5	1260.5	1082.0	2068.5	1592.0
2182.0	5106.0	6970.0	41346.5	1838.5	6804.0	45999.0	26790.0	3671.0	40411.0	5486.5	49359.5	50439.5	281.5	13721.0	7273.5	6385.5	22754.5	15921.5	44693.0	20010.0	16238.5	199.0	33326.0	16442.0	164.0	46438.5	14640.5	19059.0	63991.0	22462.0	14403.0	42023.5	1625.5	35999.5	19293.0	39451.0	19807.5	52458.0	44382.0	72696.5	97968.5
2191.0	128.0	527.0	2212.0	97.0	443.5	3410.5	1002.5	64.5	1446.0	289.0	3548.5	1678.5	12.0	1701.5	78.5	80.5	545.0	1611.5	2027.5	858.5	534.0	8.0	1127.5	706.0	6.0	1620.5	465.0	566.5	1591.0	665.0	477.0	2835.0	235.0	1805.0	1968.5	2116.5	1241.5	2454.0	1728.5	3966.0	2943.0
2231.0	94.0	324.5	1169.0	42.5	369.0	1629.0	566.0	52.0	636.0	213.0	1710.0	773.5	9.5	1217.0	94.0	67.5	318.5	1084.0	1480.0	809.0	336.0	2.5	776.5	347.0	5.0	942.5	323.5	317.5	863.5	437.5	229.0	1399.5	178.5	963.5	1256.5	1422.0	773.5	1641.5	1681.0	2428.5	1432.0
2235.0	111.5	347.0	1318.0	67.5	158.5	2905.5	621.0	73.0	1080.0	1131.0	2077.0	1116.5	8.5	1382.5	76.5	92.0	747.0	1677.0	2258.0	785.0	430.0	10.0	841.0	613.0	11.0	6121.5	339.0	531.0	1339.5	358.5	711.5	1757.5	138.0	2224.0	1224.0	3806.5	669.0	1842.0	1238.0	3984.0	9279.5
2258.0	123.5	226.5	1680.5	49.0	374.0	1383.0	411.0	74.5	1527.0	141.0	1632.5	847.5	7.0	688.5	72.5	69.0	563.0	619.5	881.5	551.5	338.0	2.5	725.5	366.5	6.0	709.0	359.5	384.0	1162.5	432.0	407.5	1230.5	98.0	683.5	824.0	1024.0	592.0	1255.0	716.0	1771.5	3258.5
2266.0	656.5	1450.0	7968.0	656.0	1489.5	11326.0	4061.0	244.0	6419.5	950.0	11407.5	6389.0	42.5	5868.0	1129.5	943.5	2630.0	5900.5	8058.5	3795.5	2679.5	31.5	4579.0	2613.5	36.0	6518.5	2050.0	2776.5	11179.5	2109.0	2088.5	11988.0	781.0	6125.0	6739.0	7299.0	3844.0	10369.5	8200.0	13279.0	13105.5
2281.0	351.0	688.0	3593.0	90.0	342.0	3985.0	1882.0	455.0	3317.0	687.0	3176.0	6089.5	19.5	1384.5	588.0	487.0	1721.0	1305.0	2633.5	1601.0	1316.0	8.5	1915.0	1336.5	10.5	3369.0	808.0	1150.0	4586.5	3726.5	1313.0	3123.0	140.0	3243.5	1913.5	4743.0	1468.0	2885.5	3766.0	5867.5	6216.5
2301.0	114.0	280.5	1830.5	42.5	122.5	2524.5	683.0	46.5	840.0	171.5	2179.0	733.5	7.0	1366.5	56.5	110.0	311.0	1401.5	1074.0	630.0	317.5	8.5	478.5	366.0	6.0	970.5	182.5	254.0	2402.5	736.0	270.5	4772.0	221.5	1510.5	2182.5	1238.5	931.0	1862.5	1002.5	1890.5	984.5
2419.0	93.5	252.0	1427.5	65.0	131.5	2858.5	677.0	152.5	810.5	194.0	2294.0	652.5	5.0	1600.5	192.0	69.5	312.5	1446.5	1285.5	573.5	373.5	5.5	634.5	422.5	5.0	948.0	196.5	172.5	889.0	445.0	288.5	1796.5	242.5	1223.5	1562.5	1606.5	862.0	1848.5	1258.5	2434.5	1240.0
11157.0	3.0	1.0	1.0	1.0	0.5	10.5	1.5	0.5	0.5	2.0	1.0	16.0	0.0	1.5	0.0	1.0	2.0	7.5	2.0	0.0	0.5	1.0	0.5	2.5	0.0	0.0	1.5	1.0	13.5	0.5	1.0	0.5	0.5	0.0	4.5	0.5	0.0	2.0	1.0	2.0	16.0
28883.0	6493.0	21474.0	31380.5	6445.5	14854.0	55952.0	18493.5	3139.5	29045.5	9149.0	49360.5	35473.0	260.0	24584.0	6231.0	5432.5	15280.0	21625.5	33752.5	22904.5	14703.0	183.0	24642.5	14203.0	140.0	33812.5	10218.5	12448.5	35919.5	12310.5	10348.5	35355.5	9199.5	31948.5	33013.0	50271.0	28927.0	45032.5	37891.0	63601.5	87303.5
31932.0	554.5	1215.5	6188.5	263.0	2939.5	10337.0	3177.0	218.5	5277.0	905.0	9428.5	5292.5	34.5	5165.5	628.0	467.5	2135.5	5127.5	6591.5	3194.0	2573.0	42.5	4236.0	2293.5	25.5	5038.5	1685.0	2082.5	5990.0	2304.5	1803.5	7557.0	694.0	6060.0	5578.0	6254.0	3677.5	9055.0	7070.0	13183.0	11301.5
