index,SAMPLE_100008_1,SAMPLE_100008_2,SAMPLE_100008_3,SAMPLE_100137_1,SAMPLE_100137_2,SAMPLE_100137_3,SAMPLE_100177_1,SAMPLE_100177_2,SAMPLE_100177_3,SAMPLE_100200_2,SAMPLE_100200_3,SAMPLE_100206_1,SAMPLE_100206_2,SAMPLE_100206_3,SAMPLE_100217_1,SAMPLE_100217_2,SAMPLE_100217_3,SAMPLE_100248_1,SAMPLE_100248_2,SAMPLE_100248_3,SAMPLE_100255_1,SAMPLE_100255_2,SAMPLE_100255_3,SAMPLE_100256_1,SAMPLE_100256_2,SAMPLE_100256_3,SAMPLE_100257_1,SAMPLE_100257_2,SAMPLE_100257_3,SAMPLE_100261_1,SAMPLE_100261_2,SAMPLE_100261_3,SAMPLE_100267_1,SAMPLE_100267_2,SAMPLE_100267_3,SAMPLE_100306_1,SAMPLE_100306_2,SAMPLE_100306_3,SAMPLE_100337_1,SAMPLE_100337_2,SAMPLE_100337_3
AB010190.1,88.0,83.0,202.0,0.0,0.5,6.0,0.0,1.5,6.5,0.0,0.0,9.0,13.5,6.0,29033.5,2210.0,62425.0,18.5,56.5,32.5,1801.0,11.5,33474.5,28.5,22.0,112.0,12.5,29.0,29.0,1.0,6.0,14.5,1.0,0.0,0.0,5.5,11.5,0.0,11.0,0.0,0.0
AB010191.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,5.5,275.5,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
AB010192.1,74.5,42.0,244.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,8.5,0.0,3.0,1011.5,55.0,1671.0,2.5,5.5,7.5,569.5,4.0,15637.5,5.5,0.5,0.0,0.0,0.5,3.0,0.5,1.5,11.5,0.0,0.0,0.0,8.0,0.0,0.0,0.5,30.5,0.0
AB010193.1,0.5,0.5,0.5,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,0.0,14462.0,946.5,34354.5,0.0,0.0,0.0,21.0,5.0,86.0,8.0,11.5,16.0,11.5,16.5,27.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,7.5,0.0,9.0,0.5,0.0
AB010194.1,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,4921.5,355.5,11391.5,0.0,0.5,0.0,0.0,0.5,33.0,3.0,3.5,6.0,3.0,9.0,11.5,0.0,2.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,4.5,159.5,0.0
AB010195.1,23.5,10.5,36.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.5,182.0,0.0,0.0,0.0,3.5,0.0,144.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
AB010196.1,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.0,0.0,0.0,0.5,3.0,0.0,10725.5,631.5,29246.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,13.0,11.0,7.5,12.0,18.5,0.0,5.5,0.5,0.0,0.0,0.0,0.0,5.0,0.0,8.0,45.0,0.0
AB010197.1,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,2.5,0.0,1742.5,284.0,4272.5,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.5,3.0,0.5,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
AB010198.1,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.5,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB010199.1,0.0,3.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
