genes	logFC	logCPM	F	PValue	FDR
ENSG00000162366	-3.0679055281038	5.83171984461553	37.7892849369944	1.65448588836568e-07	0.00159707522803939
ENSG00000100906	3.03319438124586	8.13134875806634	35.2430629476788	4.22272703637646e-07	0.00186767846821111
ENSG00000011422	3.03817033343126	6.11464943771842	33.2675275396956	7.48222621396506e-07	0.00186767846821111
ENSG00000202111	-2.30878682237921	5.57995184741429	32.7261543515471	7.73926641753284e-07	0.00186767846821111
ENSG00000185905	1.58691517376679	4.28502934083609	30.0986348622635	1.86072434673949e-06	0.00359231442381525
ENSG00000184588	1.96914316697955	5.2310744047423	28.5136285762417	3.12823411090552e-06	0.00394137291285355
ENSG00000101307	2.35885123343955	3.74067224225536	27.7454090080742	3.80996763543627e-06	0.00394137291285355
ENSG00000100342	1.4927228521674	3.3556229500594	27.435707760015	4.03962983047926e-06	0.00394137291285355
ENSG00000173327	0.86721389894193	5.16493311669689	26.806305149232	5.33835166068011e-06	0.00394137291285355
ENSG00000188404	2.05174875383524	7.12244123637117	26.7778108311972	5.44415258889466e-06	0.00394137291285355
ENSG00000134909	-1.22977171176653	3.72956553973415	26.1390211772145	5.50322590430135e-06	0.00394137291285355
ENSG00000136689	2.416776150403	4.31493630607272	26.5022314280481	5.85750274950351e-06	0.00394137291285355
ENSG00000197249	1.38921756331508	7.29103425782571	26.2799715388727	6.39050597210671e-06	0.00394137291285355
ENSG00000274641	-1.66488016295614	3.76370053520022	25.5775443289418	6.47979721860991e-06	0.00394137291285355
ENSG00000119684	-1.7625942876596	5.67863585250807	26.0937262265312	6.48067555084097e-06	0.00394137291285355
ENSG00000154229	-1.14541865872036	3.8391986089839	25.3372953506575	7.33547798429229e-06	0.00394137291285355
ENSG00000140022	-1.38579279064323	5.04766143067055	25.51725621375	7.61052971500079e-06	0.00394137291285355
ENSG00000185245	-1.57395398639489	5.1796429290118	25.4695633721641	7.74806201005593e-06	0.00394137291285355
ENSG00000155090	1.4670008685445	5.24379921951107	25.5754273093219	7.98399596532463e-06	0.00394137291285355
ENSG00000140379	1.81223112523784	5.98685959733523	25.329169267375	8.7133769689937e-06	0.00394137291285355
ENSG00000277443	1.55601957947377	6.72635486025498	25.098136799385	9.40281314728074e-06	0.00394137291285355
ENSG00000127954	2.55991861363937	3.30843987386181	24.8256932211465	9.66474467761006e-06	0.00394137291285355
ENSG00000128016	1.91758348536392	8.22607068249362	24.8655751583471	1.01402542387473e-05	0.00394137291285355
ENSG00000165702	-1.68798642224034	6.3962374074978	24.8134153769434	1.01814523069122e-05	0.00394137291285355
ENSG00000238201	-2.36277166416102	3.1377637411894	24.3527827250507	1.03448173724966e-05	0.00394137291285355
ENSG00000168010	1.84236113033141	5.24413793457278	24.7078919605859	1.0648851853802e-05	0.00394137291285355
ENSG00000143226	1.92439050892453	6.15934087260895	24.4301342109666	1.17317143329611e-05	0.00394137291285355
ENSG00000260464	-1.69738292372069	7.64717664117684	24.2873517242951	1.22923043790982e-05	0.00394137291285355
ENSG00000117602	-1.02901435245042	5.45640258016571	24.084785764319	1.28268283012242e-05	0.00394137291285355
ENSG00000254703	-1.5306118331811	3.80926676509341	23.5671803840859	1.3099080279817e-05	0.00394137291285355
ENSG00000093134	2.50767494682217	3.20311898904639	23.791052712415	1.35661470259921e-05	0.00394137291285355
ENSG00000100365	1.45435346137418	4.86998935970632	23.813997342508	1.4274444585232e-05	0.00394137291285355
