genes	logFC	logCPM	F	PValue	FDR
1849828	2.85543088736862	8.74612796518878	25.704256416883	8.03406089360205e-06	0.00852488529801943
1335483	2.93817306141684	6.90099308161911	25.6259589176693	8.24058511166692e-06	0.00852488529801943
28895	-1.66298586319726	8.37656097731812	20.0699194539714	5.43827604973719e-05	0.0253046447684722
32067	1.07629195546865	10.2658319268016	19.4463732560439	6.79842035819047e-05	0.0253046447684722
203470	-2.02758585255389	6.19830400745799	19.1084290582302	7.68082518389286e-05	0.0253046447684722
1903434	4.6901948667267	10.3904355743457	19.0300440827278	7.90219337591037e-05	0.0253046447684722
2742598	-2.50937667202747	9.14668703014813	18.6222335616234	9.16714529517739e-05	0.0253046447684722
158483	1.63902971985767	7.31981233788508	18.3422459955167	0.00010157570701017	0.0253046447684722
114627	1.36132025280158	8.40668985172785	18.123995935121	0.000110073370186684	0.0253046447684722
1651	2.44214615493009	4.8548170620343	17.4487252340185	0.000141433105055306	0.0292625094359429
613	1.4864660308735	12.0144967985955	16.8586593305046	0.000176537311176153	0.0308913898772648
1501226	1.69690775082109	10.8451725396568	16.6901268583884	0.000188165184849394	0.0308913898772648
83654	1.60623097172127	9.22098976589501	16.6083132756269	0.000194097664767734	0.0308913898772648
46255	-2.66594845211901	10.6861507053975	16.2752771128846	0.000220353867265442	0.0325651536694429
409304	1.87761469463926	7.79822247344439	15.7623004077064	0.000268352096114068	0.033425537108679
32257	1.05721671931973	7.37491127939538	15.6669321080809	0.000278428034182311	0.033425537108679
1824856	1.63098798931213	3.41523634030836	15.6044695495667	0.000285242485915942	0.033425537108679
1870884	1.04764525011459	9.57423034500511	15.5547033529428	0.000290797326223403	0.033425537108679
160674	1.85894640065899	9.14318628611863	15.3534353119953	0.000314450387592862	0.0342419922068227
216387	1.80330487444072	4.78092066439	14.5759574252109	0.000426642148922348	0.0441361303060169
267408	2.17587258684506	5.71088292073188	14.3271888541623	0.000470886803652148	0.0463935617502997
332248	-1.69091322071386	9.88899861031585	14.1641158237332	0.000502492160069763	0.0472571035992882
234	-0.449032975702445	10.3171453569371	13.426101989312	0.000676152769632198	0.0608243513203921
2100211	-0.729013539079839	6.82481181939419	12.8928306264275	0.000840408901911678	0.0720052594139271
579	0.83561397686013	6.35208963799137	12.8084139936573	0.000870049050434112	0.0720052594139271
466108	1.89757009305641	1.94705918179637	12.6069461665202	0.000945331930973208	0.0736956699085662
119044	-0.775496476274716	7.37936299388815	12.5653531230311	0.000961712463765726	0.0736956699085662
547	0.932525813069669	11.8958433183756	12.3497584720962	0.00105155270031814	0.0755460389056378
1855413	1.17564800225679	5.38065212677439	12.3330258901012	0.0010588859972274	0.0755460389056378
191494	0.738573564118	7.67276151716413	11.9494522682786	0.00124266773732106	0.0839669640334111
482629	-2.08136911206556	5.79835537855831	11.9200425593844	0.00125808404303323	0.0839669640334111
157226	0.794659017961564	6.70427791910624	11.7572282729887	0.00134716144807348	0.0856162420757311
34037	1.12368193321351	9.32070877324509	11.7250239341341	0.00136555630183621	0.0856162420757311
1330545	0.895591687915892	6.72985537580869	11.62554486305	0.00142407153780827	0.0866589415213325
32068	0.931833282146038	6.02355362588098	11.5430742290252	0.00147458847609852	0.0871692444870813
752201	-1.07885933352483	5.16058309921972	11.191370702684	0.00171224662435541	0.0984066184942038
1960084	1.09153358991997	3.98815479602395	10.7966759434581	0.00202792363686689	0.113399297423719
62076	2.1081519361774	2.87025074110687	10.493919857981	0.00231154983153704	0.125628471279109
140410	1.25769396427455	4.84643908291236	10.3928936649945	0.00241529082905108	0.125628471279109
135858	-3.05850088688566	4.9059417902819	10.3800988700732	0.00242877663178557	0.125628471279109
10405	-2.77303207885756	4.85222280554853	10.0417371098829	0.00281592205693789	0.140115638448497
1802983	-0.803147859000324	5.51716466241036	10.01890250605	0.00284430005550356	0.140115638448497
1155738	-0.865855526017347	6.78605526005544	9.84300734368625	0.00307330897460281	0.14641417354567
12234	1.58331007374124	8.17536456877739	9.81343564404105	0.00311368952924575	0.14641417354567
221292	-2.54416303009626	5.51246101566114	9.69388908247284	0.00328274884062422	0.150933496694478
2560128	1.32477757882916	3.60508773487028	9.63970227738847	0.00336255533262976	0.151241890939369
1738655	-0.573269814982208	5.25590210549917	9.27619427889557	0.00395401151089573	0.159491095912131
221279	-0.623123112974447	5.68600064325351	9.27561347548522	0.00395504026326187	0.159491095912131
32207	0.739686503369623	9.26325472775904	9.1856228789883	0.00411791666321898	0.159491095912131
2172100	1.25002523354778	2.63289107791293	9.14277443042899	0.00419795468211542	0.159491095912131
970	0.700015001775049	9.17169109866598	9.13767522644967	0.00420758891506344	0.159491095912131
748770	-1.37424034266593	6.16962448558062	9.13147004990626	0.00421934436336033	0.159491095912131
1340414	-1.5218577499957	4.17966716695846	9.07522342920427	0.00432750363783373	0.159491095912131
332518	1.50266041385534	2.86408241278652	9.07482243270822	0.00432828520562617	0.159491095912131
29521	-0.435117277808121	6.09256177780897	9.03937888469714	0.00439796186053039	0.159491095912131
2115980	-0.781598010945712	5.74847542598392	9.00773730267309	0.0044611698421793	0.159491095912131
1541445	-0.405105456304375	5.78096429730625	8.95209212719479	0.00457467693609642	0.159491095912131
1964366	1.20024352843657	3.87187944723147	8.95128507810819	0.00457634554934046	0.159491095912131
1884449	1.62614014509847	2.71487400014536	8.93446608665433	0.00461126697434518	0.159491095912131
544	1.05887690055952	10.9660247959133	8.84409189950242	0.00480381612708887	0.159491095912131
1676142	-0.596023288548057	5.34356720042127	8.83641394987843	0.00482056324161372	0.159491095912131
1578	-1.23143121906828	13.5984762818571	8.76608485779742	0.00497687938942651	0.159491095912131
2055880	1.19084411773306	3.7288297832945	8.7517502204368	0.00500939510517055	0.159491095912131
1742993	0.775621363927143	8.89499819293983	8.71254393157187	0.00509948510011429	0.159491095912131
662	-1.15978583792161	16.2132400392054	8.65599621443292	0.00523246463454729	0.159491095912131
1195526	0.952447562746207	7.03060236065309	8.65574238921618	0.00523306977154319	0.159491095912131
869806	-0.997352651691715	8.92983120905364	8.65498003442021	0.00523488772522682	0.159491095912131
190323	0.52207032444596	7.78548884328843	8.65206162678853	0.00524185332142335	0.159491095912131
204286	1.61010428347361	7.15872984771801	8.60855205391657	0.00534687630724689	0.160328798256432
69578	0.596649716566594	9.63948683006259	8.55208063649953	0.00548652990427559	0.16216614817066
2036021	0.52684780351628	6.60184721850199	8.49375057908709	0.00563485483151898	0.163391718312164
370735	0.617978797812734	6.13798453007398	8.47403881671511	0.00568593703164613	0.163391718312164
556178	2.32235604804965	3.55876912880029	8.36858725133177	0.0059676950960546	0.169139193886808
1521255	-1.21850130278229	8.01421922728684	8.32406751448355	0.00609106833157031	0.170302978081337
416916	0.803560922304843	9.11173125932029	8.25284055985493	0.00629412359044331	0.173633889448363
168808	0.884744547696608	6.92212676059991	8.16947702466302	0.00654095533973435	0.174279296250448
71	0.866441853408148	6.50099020385455	8.16572720390927	0.00655229731941773	0.174279296250448
914	-0.367798805440334	9.07031869994331	8.14056769387468	0.0066289394961052	0.174279296250448
1740	-0.494443594090541	5.31906364218022	8.10721123591229	0.0067320244947052	0.174279296250448
1579315	0.760888036026727	5.11288895962339	8.10254318880605	0.00674658608047148	0.174279296250448
1055323	-0.999887291354164	6.43454738969508	8.07824639373324	0.0068229207328595	0.174279296250448
172900	-1.99313753911435	2.21002444167384	7.96587990640911	0.00718809203391674	0.181367834367972
2707020	-0.712170637037918	6.44853241270862	7.93518854901182	0.00729140892182654	0.181758133244086
196081	-0.90567773026524	5.09612293523978	7.71616195632579	0.00807620862801688	0.198540362201486
697331	0.74159342492405	6.84172788729278	7.69502614977525	0.00815656393771208	0.198540362201486
1330546	0.714478274439709	7.22746553403557	7.63647840007319	0.00838363255953526	0.200134795006501
