NAME	platelet	erythroid	neutrophil	monocyte	macrophage	myeloid prog	dendritic cell	basophil	mast cell	b cell	plasma cell	plasmablast	t cell	nk cell	ILC	HSPC	thymocyte	adventitial cell	fibroblast/mesenchymal stem cell	pericyte cell	smooth muscle cell	stromal cell	endothelial cell
AARS	17.2566117039623	60.2125724008274	1.0	6.11500984453478	39.6047421364895	20.4912204113487	30.1524787234469	49.9948737258663	46.5320643348549	51.5549950021633	66.4240558741297	71.3391090023732	102.115657623309	42.6859444899114	1.0	20.2049417210825	42.2040709490865	33.455409414991	22.0173872300169	9.84329155884803	16.9222351937454	58.6157104740727	95.0453182624656
AARS2	1.0	11.120927911933	1.0	1.0	1.0	21.6979195780692	1.0	1.0	1.0	21.1841735303291	12.8707451459186	9.63104213371381	1.0	53.4518551972701	19.4799239065597	35.366680001768	1.0	1.0	1.0	1.0	1.0	1.0	18.1002561746485
AARSD1	1.0	15.3343668924283	1.0	1.0	1.0	33.8552180667042	1.0	1.0	37.7435442028646	1.0	14.9059856615898	6.44516432587582	28.0780427026553	42.9202206655869	35.4624450018413	26.0881512872228	1.0	27.3005457291407	20.615322024404	16.5285030989813	25.7842511445514	1.0	28.7175551831776
AASDH	1.0	25.8667813579026	1.0	36.3308356123251	15.5404974786583	43.2830554223055	33.8864711310567	1.0	1.0	47.4358951092214	13.008870511198	17.5499374287164	113.189472498289	104.862934392891	12.3389200154896	44.8669870876549	35.2632905974091	24.136425460255	17.0639593288502	1.0	1.0	1.0	56.7719088919039
AASDHPPT	56.7958764066959	64.9256487124148	1.0	21.1414134729105	87.2418584856581	139.122550088467	27.3324204760902	25.0918622707085	1.0	71.4086195678954	44.3253964209112	52.1875207833163	25.6008716036742	92.7226341323784	22.0148609315981	84.746415811467	1.0	125.517091276271	51.0264718661601	45.4855907116945	56.4765690258243	22.2193363716602	51.2831086322713
AASS	1.0	1.0	1.0	184.557249784281	1.0	15.1274374067841	1.0	1.0	53.6140797463135	1.0	1.0	1.0	1.0	1.0	1.0	62.7286026808057	1.0	268.302981529065	207.814334847275	171.877077567628	93.4878243181345	68.5156738424406	83.347360808038
AATF	17.2566117039623	53.1251083897127	98.1186413844736	22.9636827877764	76.6145214337144	91.5713719966021	125.318315677485	52.8748748454462	1.0	40.496379550131	28.7461505862565	44.1539281782526	111.05093867111	44.650987591065	53.8133745163002	71.3635792770967	82.2115316462174	79.9164044279285	41.0453227090724	84.2602010160046	41.0860861301377	106.605550077305	90.1443535701694
AATK	77.5180927302684	1.0	121.903252733068	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.3958490336629
ABCA1	1.0	1.0	201.105371018405	69.7557328012881	269.276143616809	1.0	51.2108574719133	65.2007349857534	187.128345716718	1.0	1.0	1.0	1.0	1.0	37.0319939292965	39.4152576055637	78.6508361331615	148.844546602897	139.468334649351	69.8589415077616	34.5415604695509	273.882822475454	103.944830378241
ABCA10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	14.944036104927	1.0	175.143900301157	91.9802140585459	1.0	1.0	1.0	1.0
ABCA11P	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCA12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCA13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	148.7635063822	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ABCA2	1.0	1.0	1.0	1.0	1.0	16.428019889901	31.1859454238107	1.0	1.0	1.0	1.0	1.0	1.0	87.1696248594179	1.0	35.2082884255813	1.0	6.31725024564893	10.802967457729	56.0529219439753	12.6509669312515	1.0	7.72676599123266
ABCA3	31.9215027382578	1.0	1.0	1.0	1.0	1.0	1.0	24.5535997611455	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0864175494553	1.0	1.0	1.0	1.0	22.9607596503858	1.0	1.0
ABCA4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
